#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
702,SLy4,J-30L-50K0ms_m0.75,-29.9999999766784,-49.999999932894525,-5.241918188403361e-08,0.750000000000805,0.8522539156212486
931,SLy4,J-29L-50K300ms_m0.95,-29.000000005610303,-50.00000000844262,300.0000000575524,0.9500000000047768,0.8116973665888279
725,SLy4,J-30L-50K600ms_m1.0,-30.000000233712115,-50.000000934503646,599.9999990492199,1.0,1.2122547138135715
729,SLy4,J-30L-40K0ms_m0.75,-29.999999982139254,-39.99999995613291,-7.963248549458514e-08,0.750000000000805,0.8153041388140684
740,SLy4,J-30L-40K300ms_m0.85,-29.99999998434906,-39.99999992313951,300.00000014781574,0.849999999998599,0.7334463788493776
750,SLy4,J-30L-40K600ms_m0.9,-29.999999950374303,-39.99999970939348,600.0000007359178,0.9000000000084322,0.935777167193342
538,SLy4,J-31L-30K0ms_m0.65,-30.99999996344559,-29.999999883819328,-1.6104166888908367e-08,0.6499999999749027,0.8050674880036734
766,SLy4,J-30L-30K300ms_m0.8,-30.000000001182425,-30.00000000337721,300.00000000592024,0.7999999999970194,0.6299614016917292
994,SLy4,J-29L-30K600ms_m0.95,-29.000000092772385,-30.000000392370453,599.9999994882263,0.9500000000089144,0.8369736192274689
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.8399726494400847
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.5686995507090243
803,SLy4,J-30L-20K600ms_m0.85,-30.00000001837568,-20.00000004139025,600.0000001098437,0.849999999998599,0.7249144309359458
808,SLy4,J-30L-10K0ms_m0.65,-29.999999821032844,-9.99999933422282,4.383178549005607e-07,0.6499999999749027,0.9974427678921572
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5576940353420887
613,SLy4,J-31L-10K600ms_m0.8,-31.000000010788877,-10.000000024365832,600.0000000640179,0.7999999999970194,0.6764388377892587
618,SLy4,J-31L0K0ms_m0.6,-30.999999941690703,1.0662256499927025e-07,-4.997902038894608e-07,0.6000000000340384,1.1561596765264763
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7521688693069472
1074,SLy4,J-29L0K600ms_m0.9,-29.00000003475576,-1.2277173766506166e-07,599.9999999543787,0.9000000000065753,0.7600433648127597
645,SLy4,J-31L10K0ms_m0.6,-31.000000077443588,9.999999562215976,-1.048172023843108e-06,0.6000000000340384,1.4546237062321148
438,SLy4,J-32L10K300ms_m0.6,-31.999999986005776,10.000000038317012,299.9999999655781,0.6000000000010303,0.7411661269598033
666,SLy4,J-31L10K600ms_m0.75,-31.0000000329392,9.999999872859291,599.9999998962203,0.75000000005238,0.6580989610302124
888,SLy4,J-30L20K0ms_m0.6,-29.999999835565745,20.000000670217677,7.643817951930032e-07,0.6000000000340384,1.952667435216612
249,SLy4,J-33L20K300ms_m0.6,-32.99999998643571,20.00000001539468,299.9999998405422,0.6000000000340384,1.1348671567463389
692,SLy4,J-31L20K600ms_m0.7,-31.00000000085018,20.000000004620205,600.0000000478275,0.6999999999639966,0.7239530775139398
