#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
132,SLy4,J-33L-20K0ms_m0.6,-33.00000007177934,-20.00000034104562,-5.882265980972079e-07,0.6000000000340384,0.9649792130036317
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7521688693069472
232,SLy4,J-33L10K600ms_m0.65,-33.000000017790526,9.99999993111689,599.99999994421,0.6500000000330105,0.8328809814190067
348,SLy4,J-32L-20K0ms_m0.6,-31.999999832203716,-19.99999937891289,3.92156934481136e-07,0.5999999999680222,0.8399726494400847
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6126583798929782
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.6892483349580911
538,SLy4,J-31L-30K0ms_m0.65,-30.99999996344559,-29.999999883819328,-1.6104166888908367e-08,0.6499999999749027,0.8050674880036734
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5576940353420887
666,SLy4,J-31L10K600ms_m0.75,-31.0000000329392,9.999999872859291,599.9999998962203,0.75000000005238,0.6580989610302124
729,SLy4,J-30L-40K0ms_m0.75,-29.999999982139254,-39.99999995613291,-7.963248549458514e-08,0.750000000000805,0.8153041388140684
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.5686995507090243
830,SLy4,J-30L-10K600ms_m0.85,-30.0000000238366,-10.000000064628892,600.0000000826299,0.849999999998599,0.6928355229810078
920,SLy4,J-29L-50K0ms_m0.85,-28.99999999788676,-50.00000001380579,-1.1432818070034045e-07,0.849999999998599,0.8727438691518782
983,SLy4,J-29L-30K300ms_m0.85,-29.000000009112327,-30.000000040852427,299.9999999389036,0.849999999998599,0.7340940711451813
1074,SLy4,J-29L0K600ms_m0.9,-29.00000003475576,-1.2277173766506166e-07,599.9999999543787,0.9000000000065753,0.7600433648127597
1137,SLy4,J-28L-50K0ms_m0.9,-27.999999985661688,-49.99999996029322,-3.8532665058710336e-08,0.9000000000065753,1.0164591104920135
1201,SLy4,J-28L-30K300ms_m0.95,-27.99999999843672,-29.999999981949102,300.0000000781416,0.949999999996502,0.9311119634446442
1264,SLy4,J-28L-10K600ms_m0.95,-28.000000009747566,-10.000000009422024,600.000000130521,0.9500000000006396,0.9480423777130668
1355,SLy4,J-27L-50K0ms_m1.0,-26.999999982495268,-49.999999951988855,-5.2727614274772356e-08,1.0,1.2422775576488307
1445,SLy4,J-27L-20K300ms_m1.0,-27.000000008953627,-20.000000041361545,299.99999993420323,1.0,1.279951340170599
1508,SLy4,J-27L0K600ms_m1.0,-27.00000000575312,6.979377076277161e-09,600.0000001512399,1.0,1.3381157057539923
