#ChiSquare1 = 1/Nd*sum(B_exp-B_th)^2/sigma
#ChiSquare2 = sqrt(1/Nd*sum(B_exp-B_th)^2)^2) MeV
#ChiSquare3 = sum(B_exp-B_th)^2/B_exp^2
#ChiSquare4 = ChiSquare2 using only s-wave#ChiSquare5 = ChiSquare2 using only s-p splitting
#ChiSquare6 = ChiSquare2 using only heavyer than 13C_Lam
index,NParamType,LParameterType,J (MeV),L (MeV),K (MeV),m*/m,ChiSquare6
52,SLy4,J-33L-50K0ms_m0.65,-32.99999997138843,-49.9999999161962,-5.571052952291212e-08,0.6500000000330105,1.2528461414810548
78,SLy4,J-33L-40K0ms_m0.6,-32.999999975469336,-39.99999993277368,-7.079444230839728e-08,0.5999999999845264,1.0447241073450346
105,SLy4,J-33L-30K0ms_m0.6,-32.99999991578426,-29.999999695428077,1.6257612855952178e-07,0.5999999999845264,1.0035813919029517
142,SLy4,J-33L-20K300ms_m0.65,-33.00000000917011,-20.00000004915637,299.99999989616254,0.6499999999942719,0.9182148654068184
168,SLy4,J-33L-10K300ms_m0.6,-32.9999999840898,-9.999999952500502,299.99999997725325,0.6000000000175344,0.7702427628983926
195,SLy4,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-08,299.9999999500398,0.6000000000175344,0.7521688693069472
232,SLy4,J-33L10K600ms_m0.65,-33.000000017790526,9.99999993111689,599.99999994421,0.6500000000330105,0.8328809814190067
260,SLy4,J-33L20K600ms_m0.7,-32.99999999761212,20.0000000167355,600.0000000575577,0.6999999999639966,1.0633621888076106
268,SLy4,J-32L-50K0ms_m0.65,-31.999999995808565,-50.00000001345836,-1.5178000012383566e-07,0.6500000000330105,1.0497513833700172
295,SLy4,J-32L-40K0ms_m0.65,-31.9999999669906,-39.99999989787534,-3.1642699127587555e-08,0.6499999999942719,0.9679307896201368
333,SLy4,J-32L-30K300ms_m0.75,-31.999999998842185,-29.999999999163435,299.99999998604284,0.75000000005238,0.8469606889356428
359,SLy4,J-32L-20K300ms_m0.7,-31.99999999918643,-20.00000000676789,299.99999995012416,0.7000000000313881,0.7292000920664676
385,SLy4,J-32L-10K300ms_m0.65,-31.99999997475805,-9.999999913337549,300.0000000249342,0.6500000000136412,0.6126583798929782
412,SLy4,J-32L0K300ms_m0.65,-31.99999997851305,7.19532522452937e-08,300.0000000147796,0.6499999999749027,0.7852732437968984
449,SLy4,J-32L10K600ms_m0.7,-32.00000000439511,9.999999990564078,600.000000032289,0.6999999999864606,0.6892483349580911
477,SLy4,J-32L20K600ms_m0.75,-32.00000000405359,19.99999999000013,600.0000000252522,0.7499999999492298,0.884065839799801
485,SLy4,J-31L-50K0ms_m0.7,-30.999999981560197,-49.99999994974627,-5.517165391211166e-08,0.6999999999639966,0.8975164856412575
523,SLy4,J-31L-40K300ms_m0.8,-31.000000003874348,-40.00000001316839,299.99999999891145,0.7999999999970193,0.8526503765960278
550,SLy4,J-31L-30K300ms_m0.8,-30.99999999956332,-29.99999999731932,300.00000001078564,0.7999999999970194,0.7012490887601635
576,SLy4,J-31L-20K300ms_m0.75,-30.99999998991497,-19.999999967967767,299.9999999967728,0.7500000000523801,0.5798022983049813
602,SLy4,J-31L-10K300ms_m0.7,-30.99999999308271,-9.999999979917789,299.99999999125055,0.6999999999415328,0.5576940353420887
640,SLy4,J-31L0K600ms_m0.8,-31.00000001624978,-4.760446969953591e-08,600.0000000368043,0.7999999999970193,0.7897672724551131
666,SLy4,J-31L10K600ms_m0.75,-31.0000000329392,9.999999872859291,599.9999998962203,0.75000000005238,0.6580989610302124
692,SLy4,J-31L20K600ms_m0.7,-31.00000000085018,20.000000004620205,600.0000000478275,0.6999999999639966,0.7239530775139398
714,SLy4,J-30L-50K300ms_m0.9,-30.00000000738899,-50.000000009710405,300.0000000863104,0.9000000000065753,0.8195588382310055
740,SLy4,J-30L-40K300ms_m0.85,-29.99999998434906,-39.99999992313951,300.00000014781574,0.849999999998599,0.7334463788493776
766,SLy4,J-30L-30K300ms_m0.8,-30.000000001182425,-30.00000000337721,300.00000000592024,0.7999999999970194,0.6299614016917292
793,SLy4,J-30L-20K300ms_m0.8,-30.000000011948245,-20.000000053140557,299.999999925657,0.7999999999970194,0.5686995507090243
820,SLy4,J-30L-10K300ms_m0.8,-29.9999999898228,-9.999999971020316,299.99999997886914,0.8000000000468982,0.6752280263355411
857,SLy4,J-30L0K600ms_m0.85,-30.000000014407853,-4.5992290864660397e-08,600.0000000088753,0.849999999998599,0.8650567070528526
883,SLy4,J-30L10K600ms_m0.8,-30.000000013557788,9.999999962187148,600.0000000438133,0.7999999999970193,0.7711425094570852
910,SLy4,J-30L20K600ms_m0.8,-29.999999984483928,20.00000007904933,600.0000001665093,0.7999999999295361,0.7984318984175869
931,SLy4,J-29L-50K300ms_m0.95,-29.000000005610303,-50.00000000844262,300.0000000575524,0.9500000000047768,0.8116973665888279
957,SLy4,J-29L-40K300ms_m0.9,-29.000000022380327,-40.00000008833561,299.99999991648593,0.9000000000065753,0.7628883788233746
983,SLy4,J-29L-30K300ms_m0.85,-29.000000009112327,-30.000000040852427,299.9999999389036,0.849999999998599,0.7340940711451813
1010,SLy4,J-29L-20K300ms_m0.85,-29.000000001264645,-20.000000007319954,299.99999998614453,0.849999999998599,0.7646000212652625
1046,SLy4,J-29L-10K600ms_m0.85,-29.00000001568377,-10.000000031599228,600.0000001168521,0.849999999998599,0.8068309987344846
1074,SLy4,J-29L0K600ms_m0.9,-29.00000003475576,-1.2277173766506166e-07,599.9999999543787,0.9000000000065753,0.7600433648127597
1101,SLy4,J-29L10K600ms_m0.9,-29.00000000751568,9.99999998492168,600.000000058737,0.9000000000010053,0.9635947679738804
1127,SLy4,J-29L20K600ms_m0.85,-29.000000017091445,19.999999940987152,599.9999999895235,0.8499999999952866,1.011420288802718
1137,SLy4,J-28L-50K0ms_m0.9,-27.999999985661688,-49.99999996029322,-3.8532665058710336e-08,0.9000000000065753,1.0164591104920135
1175,SLy4,J-28L-40K300ms_m1.0,-28.000000001530573,-39.9999999916145,300.0000000791242,1.0,0.9431335417049816
1201,SLy4,J-28L-30K300ms_m0.95,-27.99999999843672,-29.999999981949102,300.0000000781416,0.949999999996502,0.9311119634446442
1238,SLy4,J-28L-20K600ms_m1.0,-28.000000035557235,-20.00000010986554,600.0000000411517,1.0,1.008625134464521
1264,SLy4,J-28L-10K600ms_m0.95,-28.000000009747566,-10.000000009422024,600.000000130521,0.9500000000006396,0.9480423777130668
1291,SLy4,J-28L0K600ms_m0.95,-28.00000001537904,-3.351350130742503e-08,600.0000001016016,0.9500000000089144,1.0244670757465162
1318,SLy4,J-28L10K600ms_m0.95,-28.00000003848062,9.99999985504439,599.9999998979811,0.9500000000068456,1.2155607787451637
1344,SLy4,J-28L20K600ms_m0.9,-28.000000004823704,19.999999994713136,600.0000000657458,0.9000000000010053,1.2724241012349555
1355,SLy4,J-27L-50K0ms_m1.0,-26.999999982495268,-49.999999951988855,-5.2727614274772356e-08,1.0,1.2422775576488307
1381,SLy4,J-27L-40K0ms_m0.95,-26.99999998917329,-39.999999981411065,-9.279805901485361e-08,0.949999999996502,1.2852710607250448
1418,SLy4,J-27L-30K300ms_m1.0,-26.99999999883859,-29.999999981823077,300.0000000861333,1.0,1.3112295813961286
1445,SLy4,J-27L-20K300ms_m1.0,-27.000000008953627,-20.000000041361545,299.99999993420323,1.0,1.279951340170599
1472,SLy4,J-27L-10K300ms_m1.0,-26.999999993102364,-9.999999977583116,300.0000000028485,1.0,1.4190253450982395
1508,SLy4,J-27L0K600ms_m1.0,-27.00000000575312,6.979377076277161e-09,600.0000001512399,1.0,1.3381157057539923
1535,SLy4,J-27L10K600ms_m1.0,-27.00000002889739,9.999999895324123,599.9999999471924,1.0,1.517586086019315
1562,SLy4,J-27L20K600ms_m1.0,-27.000000001785224,20.00000000237776,600.0000000502713,1.0,1.559652825578713
